idx,agent,size,slots,lp_norm,cost,reward,prestige,score
33,EDU,S,s_121,0.7979436758104282,0.7353419762593371,0.07545194465835081,0.29979436758104283,0.2610816045827265
26,EDU,S,s_288,0.794627217498496,0.7342807095995187,0.0752131596598917,0.2994627217498496,0.26077276854778075
17,EDU,S,s_89,0.7941147077674405,0.734116706485581,0.0751762589592557,0.29941147077674407,0.2607250424923556
2,EDU,S,s_233,0.7936724664121173,0.7339751892518775,0.07514441758167242,0.2993672466412118,0.2606838599856509
59,EDU,S,s_27,0.7936724664121173,0.7339751892518775,0.07514441758167242,0.2993672466412118,0.2606838599856509
22,EDU,S,s_299,0.790815093744353,0.733060829998193,0.07493868674959339,0.29908150937443534,0.2604177750353593
21,EDU,S,s_120,0.7890100853402248,0.7324832273088719,0.07480872614449618,0.2989010085340225,0.26024968860515474
56,EDU,S,s_126,0.7885350616785306,0.7323312197371298,0.0747745244408542,0.2988535061678531,0.2602054533365686
12,EDU,S,s_92,0.7884802814662333,0.7323136900691947,0.07477058026556876,0.29884802814662337,0.26020035208035847
41,EDU,S,s_24,0.7879680130296525,0.7321497641694888,0.07473369693813497,0.29879680130296526,0.2601526484948159
31,EDU,S,s_125,0.7870319863103895,0.7318502356193246,0.07466630301434804,0.298703198631039,0.26006548358774007
4,EDU,S,s_79,0.7865576302015949,0.7316984416645105,0.07463214937451482,0.2986557630201595,0.26002131048317684
13,EDU,S,s_102,0.7865255341749182,0.7316881709359739,0.0746298384605941,0.29865255341749186,0.2600183216291995
6,EDU,S,s_14,0.7860756586504609,0.7315442107681476,0.07459744742283317,0.2986075658650461,0.2599764282115458
7,EDU,S,s_271,0.7860756586504609,0.7315442107681476,0.07459744742283317,0.2986075658650461,0.2599764282115458
45,EDU,S,s_37,0.7860756586504609,0.7315442107681476,0.07459744742283317,0.2986075658650461,0.2599764282115458
30,EDU,S,s_106,0.781014439263438,0.7299246205643002,0.07423303962696753,0.29810144392634386,0.2595051161127762
18,EDU,S,s_114,0.7809217050969368,0.7298949456310199,0.07422636276697944,0.2980921705096937,0.2594964804992414
14,EDU,S,s_327,0.7804258323689703,0.7297362663580705,0.07419065993056584,0.2980425832368971,0.25945030371885125
47,EDU,S,s_2,0.7804258323689703,0.7297362663580705,0.07419065993056584,0.2980425832368971,0.25945030371885125
48,EDU,S,s_10,0.7804258323689703,0.7297362663580705,0.07419065993056584,0.2980425832368971,0.25945030371885125
50,EDU,S,s_337,0.7794881523815038,0.7294362087620813,0.07412314697146827,0.2979488152381504,0.259362984855733
227,IND,S,s_337,0.7794881523815038,1.334616114286128,0.41366172525724876,0.05882047390473985,0.11733589255618053
191,IND,S,s_327,0.7804258323689703,1.3353193742767278,0.4138417598148424,0.05878296670524119,0.11732451871363857
224,IND,S,s_2,0.7804258323689703,1.3353193742767278,0.4138417598148424,0.05878296670524119,0.11732451871363857
225,IND,S,s_10,0.7804258323689703,1.3353193742767278,0.4138417598148424,0.05878296670524119,0.11732451871363857
195,IND,S,s_114,0.7809217050969368,1.3356912788227027,0.41393696737861185,0.05876313179612253,0.11731850389151999
207,IND,S,s_106,0.781014439263438,1.3357608294475785,0.41395477233858013,0.058759422429462485,0.11731737904741316
183,IND,S,s_14,0.7860756586504609,1.3395567439878457,0.41492652646088846,0.05855697365398157,0.11725598762054273
184,IND,S,s_271,0.7860756586504609,1.3395567439878457,0.41492652646088846,0.05855697365398157,0.11725598762054273
222,IND,S,s_37,0.7860756586504609,1.3395567439878457,0.41492652646088846,0.05855697365398157,0.11725598762054273
190,IND,S,s_102,0.7865255341749182,1.3398941506311886,0.4150129025615843,0.05853897863300327,0.11725053073392153
181,IND,S,s_79,0.7865576302015949,1.339918222651196,0.4150190649987062,0.05853769479193621,0.11725014141650136
208,IND,S,s_125,0.7870319863103895,1.3402739897327922,0.41511014137159485,0.05851872054758442,0.11724438758602362
218,IND,S,s_24,0.7879680130296525,1.3409760097722394,0.4152898585016933,0.0584812794788139,0.11723303379724467
189,IND,S,s_92,0.7884802814662333,1.341360211099675,0.4153882140415168,0.058460788741350675,0.1172268200989523
233,IND,S,s_126,0.7885350616785306,1.3414012962588981,0.41539873184227794,0.05845859753285878,0.11722615562757892
198,IND,S,s_120,0.7890100853402248,1.3417575640051687,0.41548993638532317,0.058439596586391016,0.11722039369983805
199,IND,S,s_299,0.790815093744353,1.3431113203082647,0.41583649799891576,0.058367396250225884,0.1171984993631242
179,IND,S,s_233,0.7936724664121173,1.345254349809088,0.4163851135511266,0.058253101343515315,0.11716384008998064
236,IND,S,s_27,0.7936724664121173,1.345254349809088,0.4163851135511266,0.058253101343515315,0.11716384008998064
194,IND,S,s_89,0.7941147077674405,1.3455860308255805,0.4164700238913486,0.05823541168930238,0.11715847580407474
203,IND,S,s_288,0.794627217498496,1.345970413123872,0.4165684257597112,0.058214911300060165,0.11715225917893594
210,IND,S,s_121,0.7979436758104282,1.348457756857821,0.41720518575560217,0.058082252967582876,0.11711203130253774
223,IND,S,s_311,0.799418236634621,1.3495636774759658,0.4174883014338472,0.058023270534615166,0.1170941452189515
